index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url
1,DeLonghi Dinamica (ECAM350.55.B),2649.0,2649₾,1859.0,1859₾,1859.0,True,2025-10-07 12:01:52,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
2,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.R),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:02:22,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
3,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.BK),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:02:53,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
4,DeLonghi Dedica Manual Espresso Coffee Maker (EC685.W),799.0,799₾,559.0,559₾,559.0,True,2025-10-07 12:03:23,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
5,DeLonghi Coffee Machine Glasses (DLSC310),39.0,39₾,39.0,39₾,39.0,True,2025-10-07 12:04:13,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
6,DeLonghi Coffee Machine Glasses (DLSC311),49.0,49₾,49.0,49₾,49.0,True,2025-10-07 12:05:04,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
7,DeLonghi Dedica Manual Espresso Coffee Maker (EC885.BG),819.0,819₾,579.0,579₾,579.0,True,2025-10-07 12:05:34,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
8,DeLonghi Eletta Explore (ECAM450.65.S),3299.0,3299₾,2309.0,2309₾,2309.0,True,2025-10-07 12:06:04,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
9,DeLonghi Eletta Explore (ECAM450.65.G),3299.0,3299₾,2309.0,2309₾,2309.0,True,2025-10-07 12:06:34,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
10,DeLonghi Eletta Explore Titanium (ECAM450.86.T),3799.0,3799₾,2659.0,2659₾,2659.0,True,2025-10-07 12:07:04,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
11,DeLonghi Magnifica Start ECAM220.31.SB,1899.0,1899₾,1329.0,1329₾,1329.0,True,2025-10-07 12:07:35,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
12,DeLonghi Rivelia (EXAM440.55.BG),2999.0,2999₾,,,2999.0,False,2025-10-07 12:08:23,https://alta.ge/en/small-domestic-appliances/brand=delonghi;-c7s
